"","ID","INSEE_COM","CODE_EPCI","INSEE_DEP","INSEE_REG","NOM_COM_M","POPULATION","Nb_Transac","Prixm2_Moy"
"66","COMMUNE_0000000009759680","34287",243400694,"34",76,"SAINT SATURNIN DE LUCIAN",287,2,1365
"67","COMMUNE_0000002200276539","35184",200038990,"35",53,"MONTAUBAN DE BRETAGNE",5747,60,1557
"68","COMMUNE_0000002200276542","35292",200070688,"35",53,"SAINT MARC LE BLANC",1682,10,1228
"69","COMMUNE_0000002200276554","39199",200069615,"39",27,"DOMBLANS",1212,11,1589
"70","COMMUNE_0000000009753531","38425",200085751,"38",84,"SAINT MAURICE L EXIL",6092,32,1896
"71","COMMUNE_0000000009746718","39078",200010650,"39",27,"BREVANS",660,4,1402
"72","COMMUNE_0000000009743960","41040",200030385,"41",24,"CHAPELLE VENDOMOISE",763,5,1669
"73","COMMUNE_0000002200276557","40197",244000691,"40",75,"MORCENX LA NOUVELLE",5077,64,1483
"74","COMMUNE_0000000009744025","44051",200072726,"44",52,"DERVAL",3488,45,1310
"75","COMMUNE_0000000009745521","44209",244400503,"44",52,"TREILLIERES",8978,106,2546
"76","COMMUNE_0000000009745524","44217",244400503,"44",52,"VIGNEUX DE BRETAGNE",5923,90,2463
"77","COMMUNE_0000000009757683","46103",200039519,"46",76,"SAINT PAUL FLAUGNAC",994,5,1391
"78","COMMUNE_0000000009757680","46202",244600532,"46",76,"MONTDOUMERC",531,4,1089
"79","COMMUNE_0000000009760834","64513",200067288,"64",75,"SAUVETERRE DE BEARN",1387,19,1730
"80","COMMUNE_0000000009734725","50363",200066389,"50",28,"MOYON VILLAGES",1503,20,1132
"81","COMMUNE_0000000009734724","50512",200066389,"50",28,"SAINT MARTIN DE BONFOSSE",531,5,1169
"82","COMMUNE_0000002200276576","50417",200067205,"50",28,"QUETTEHOU",1786,21,1516
"83","COMMUNE_0000002200276460","50597",200069425,"50",28,"TIREPIED SUR SEE",936,8,1631
"84","COMMUNE_0000002200276580","53097",200033298,"53",52,"EVRON",8757,86,1125
"85","COMMUNE_0000000009736503","77181",247700594,"77",11,"FERRIERES EN BRIE",3222,54,3770
"86","COMMUNE_0000002200276584","55150",200066108,"55",44,"DEMANGE BAUDIGNECOURT",570,NA,NA
"87","COMMUNE_0000002200276612","72219",200072718,"72",52,"BERNAY NEUVY EN CHAMPAGNE",861,12,1118
"88","COMMUNE_0000002200276587","56165",200066777,"56",53,"PLOERMEL",9890,148,1465
"89","COMMUNE_0000000009728617","59545",200030633,"59",32,"SAINT SOUPLET",1233,16,829
"90","COMMUNE_0000002200276588","56173",200067221,"56",53,"PLUMELIAU BIEUZY",4395,47,1242
"91","COMMUNE_0000000009733273","57261",200069441,"57",44,"GROS REDERCHING",1338,NA,NA
