codecommune;Nb_mutations;PrixMoyen_m2
34133;1;15283
75107;567;13502
75106;475;13420
75104;396;12598
75105;639;12306
75101;218;12236
75103;558;12200
83101;7;12162
75108;501;11890
75102;428;11805
75109;965;11526
75116;2101;11496
92051;494;11153
75117;2243;11014
75111;2201;10826
73304;19;10721
75115;2790;10650
75114;1357;10611
75110;1360;10501
2654;1;10147
75112;1396;10066
75118;2954;10063
83119;25;9860
65169;1;9804
75113;1263;9623
92044;556;9607
75120;1808;9404
94067;301;9289
75119;1499;9165
94080;783;9133
92012;1273;9041
6121;31;8961
74173;103;8391
66044;1;8381
3245;1;8355
33236;214;8313
92040;581;8259
17004;1;8250
13012;1;8166
15102;1;8161
31564;1;8000
74188;8;7850
92049;521;7849
94018;350;7808
73015;46;7771
6059;53;7684
6032;60;7634
66233;1;7466
92064;329;7457
17286;21;7426
83152;7;7405
74080;40;7379
37258;2;7358
92046;220;7352
6159;134;7325
74056;168;7261
73227;27;7249
92062;287;7233
74199;5;7219
93045;233;7219
74299;23;7213
73232;6;7149
92073;280;7148
92075;281;7135
92024;410;7132
64527;2;7108
17051;43;7073
6011;97;7068
92026;513;7041
11380;1;7000
92035;283;6996
33009;564;6991
78646;986;6973
78650;225;6961
14492;5;6841
62319;3;6821
70394;1;6792
40304;132;6739
62826;432;6718
74114;4;6710
92004;694;6692
92071;174;6683
92009;236;6644
26262;1;6617
94052;609;6586
78158;390;6575
17297;26;6567
17369;45;6531
74134;48;6528
93070;474;6496
54461;2;6491
64122;401;6489
92023;512;6488
78190;111;6485
13022;68;6483
93061;175;6468
93048;979;6468
92072;234;6462
74108;10;6448
32428;1;6429
92033;189;6416
6138;69;6415
6012;216;6376
78686;230;6335
94037;104;6313
64249;6;6311
93055;506;6306
92014;206;6296
94069;193;6258
92020;348;6239
56085;1;6230
94043;195;6229
92047;9;6224
94033;593;6221
94068;1247;6213
69386;255;6200
78551;517;6200
92076;109;6154
94042;268;6101
78358;408;6065
74191;105;6057
92077;110;6052
69382;341;6037
92063;502;6010
94003;168;6009
11184;1;6000
73257;144;5997
92022;207;5980
6150;41;5973
17161;52;5942
78196;4;5929
74176;22;5906
92048;387;5898
83068;42;5892
17121;25;5874
70202;2;5846
13034;14;5833
94046;667;5832
17207;15;5810
56087;11;5800
6104;390;5792
2A228;14;5787
92060;275;5779
92050;285;5772
74267;29;5761
92025;562;5744
78396;67;5738
64483;183;5729
13104;88;5713
94058;618;5698
93006;287;5696
74003;3;5692
78343;7;5689
83079;5;5688
6089;15;5684
2A215;4;5677
93063;262;5675
17318;22;5638
83009;420;5635
95210;202;5625
92002;542;5623
97111;3;5621
63179;2;5613
13011;5;5611
78146;437;5608
13090;1;5588
32240;1;5566
69381;432;5565
13094;10;5556
2A139;25;5537
94016;277;5536
13093;3;5525
73132;22;5522
73293;2;5522
17019;20;5494
17360;46;5468
83115;64;5463
13109;12;5456
69191;82;5453
64125;72;5452
1143;158;5448
92007;175;5442
83112;242;5431
6128;34;5431
69384;477;5425
83094;8;5425
83048;31;5424
94076;445;5424
78117;73;5422
74099;20;5408
83065;16;5403
83123;439;5403
73296;31;5402
40065;293;5399
14280;1;5385
94041;451;5382
13021;58;5375
9195;1;5375
38514;1;5375
84086;9;5360
78124;192;5354
83070;271;5346
74136;58;5340
94002;521;5334
6060;24;5314
74303;20;5303
26344;1;5300
74201;15;5265
83036;38;5223
6029;1735;5219
6161;352;5195
14220;312;5177
2A008;25;5173
95295;1;5172
78311;444;5163
2A065;5;5163
74261;4;5157
44055;869;5136
2A276;7;5136
2A041;14;5134
81041;1;5128
38191;157;5128
1180;9;5124
83027;41;5123
14488;1;5120
83034;177;5118
78455;86;5103
78406;5;5101
83149;2;5101
69383;623;5093
6038;23;5091
33529;479;5086
69194;76;5076
83019;272;5075
94015;227;5065
62449;2;5065
2A247;71;5065
74294;10;5043
6018;104;5043
78481;242;5031
91645;177;5027
33005;241;5026
78640;206;5019
6112;39;5016
84020;5;5014
83122;1;5000
84005;1;5000
69044;65;4990
34333;86;4989
6044;88;4975
92032;178;4974
74242;37;4962
91312;121;4957
84068;12;4949
74290;9;4946
74143;63;4945
34192;53;4940
1313;100;4933
69387;580;4924
84050;20;4923
74059;2;4919
6068;1;4917
78672;88;4916
92019;302;4905
78322;75;4903
74045;3;4900
2B185;1;4898
91635;24;4898
2A070;6;4898
78418;181;4897
2A300;4;4890
2A035;1;4889
6084;88;4887
81265;1;4880
6152;98;4880
2A362;30;4879
74266;10;4877
84124;16;4876
6085;266;4875
69072;95;4871
78350;93;4870
64189;94;4865
74036;3;4863
13033;44;4861
74102;6;4857
34314;6;4855
48123;1;4850
74150;8;4850
78233;31;4849
74213;48;4833
6105;67;4824
60656;3;4820
73059;8;4816
74239;15;4812
85113;97;4810
78224;85;4807
13019;62;4805
74019;27;4803
64024;401;4800
78126;252;4799
38404;1;4795
74031;17;4788
74082;39;4783
2693;1;4778
74254;1;4777
14238;5;4773
74083;59;4771
74098;13;4758
33063;4678;4753
74216;6;4752
74228;1;4750
95611;1;4746
2A092;7;4739
74112;67;4734
30245;5;4730
78092;106;4714
40296;187;4713
38527;14;4712
44132;379;4710
91534;44;4706
74221;2;4705
6065;40;4695
34344;152;4692
6004;1611;4686
50511;3;4680
69116;45;4679
13023;23;4678
6148;43;4677
56241;13;4677
78561;1;4674
13100;52;4674
78367;61;4674
78608;1;4670
6091;29;4667
74198;3;4664
74162;2;4660
78143;28;4653
2A130;28;4651
77059;9;4650
1397;3;4644
35093;317;4642
38120;1;4639
74293;27;4637
78007;12;4637
47307;4;4636
13114;43;4634
84058;6;4628
2A114;4;4625
91064;49;4625
85163;148;4622
69033;22;4621
26263;2;4608
13001;1449;4606
94055;131;4603
83071;271;4597
4176;5;4590
69063;62;4587
2A349;3;4586
74016;24;4582
43252;1;4581
61088;2;4579
78571;88;4570
74010;2064;4565
13207;472;4564
78575;102;4563
1399;36;4562
84073;8;4560
13032;72;4557
6083;944;4556
91679;17;4554
94081;642;4551
13060;31;4550
84146;2;4543
74063;63;4536
74152;7;4536
64038;24;4532
74179;3;4530
65306;2;4528
13015;75;4526
74272;9;4523
94038;304;4516
66048;2;4508
48119;4;4502
73317;14;4501
78466;129;4500
9018;1;4500
65056;1;4500
74219;4;4498
31418;3;4498
77181;48;4497
83129;584;4495
24516;8;4491
73094;6;4490
6108;43;4486
6035;16;4485
69153;15;4482
92036;107;4482
74117;1;4481
56034;155;4481
21076;2;4481
36166;3;4476
1153;21;4473
14701;99;4470
1103;19;4460
77111;88;4459
38289;27;4459
2A048;9;4455
18016;1;4450
1071;77;4448
64130;5;4447
44135;210;4447
78384;16;4446
13096;36;4446
78688;108;4444
83042;28;4444
69293;21;4444
97310;10;4444
6113;16;4444
74243;113;4443
56258;52;4442
69233;16;4441
6137;20;4441
74160;51;4437
1419;74;4435
78586;619;4432
74085;45;4429
93033;121;4428
13058;19;4426
64534;1;4420
14645;5;4420
77449;101;4419
91471;159;4416
73306;32;4406
74044;7;4402
29085;1;4400
13028;425;4390
74076;4;4387
69388;494;4385
6046;30;4378
83001;2;4378
13088;34;4372
77180;12;4371
74074;3;4364
73142;7;4364
1360;20;4358
73328;2;4356
56116;29;4355
78133;70;4350
33069;429;4348
1354;159;4342
83118;137;4337
84100;2;4337
2A017;7;4336
69205;52;4335
69087;40;4335
6079;496;4332
78372;284;4330
78545;279;4325
1401;23;4324
1281;60;4323
69244;384;4322
56005;113;4322
69059;12;4321
77410;4;4318
93062;251;4318
69277;60;4317
6027;760;4314
69081;212;4312
1428;1;4312
2B050;1;4308
95176;339;4307
74275;44;4303
91689;91;4303
4144;1;4300
83107;55;4299
30133;880;4298
77186;280;4298
73071;12;4297
6007;32;4294
74258;70;4294
6088;7798;4293
78502;72;4288
77307;266;4287
6037;2;4284
78420;34;4280
78043;55;4277
69034;630;4276
1135;20;4274
69250;38;4267
2B134;2;4263
69043;75;4258
6123;477;4255
74229;8;4254
93049;239;4244
77268;146;4244
33011;155;4237
1308;1;4237
74154;17;4226
84085;6;4221
66199;1;4216
25609;2;4216
33065;41;4212
13113;31;4211
6155;548;4207
93051;693;4199
64100;25;4199
30021;5;4198
74006;16;4197
26136;1;4195
14715;381;4190
2A098;9;4190
13116;2;4188
73186;11;4187
33229;136;4184
33199;401;4179
6067;25;4177
94079;359;4172
74302;5;4171
95063;344;4166
69284;35;4165
78152;25;4162
13062;28;4162
95574;95;4159
66053;5;4156
74314;4;4153
74291;4;4151
78189;30;4149
13107;43;4148
56186;158;4148
69127;32;4146
2A032;14;4146
2A001;8;4146
13002;192;4145
38039;21;4142
40276;9;4141
74200;20;4141
60141;193;4140
33522;684;4140
56114;27;4140
78289;19;4140
74103;8;4139
24567;1;4138
14104;4;4138
73206;16;4137
7203;2;4137
94017;812;4134
91479;61;4133
34154;91;4133
13025;24;4132
38045;15;4132
6157;241;4132
91275;28;4132
74069;5;4128
34198;31;4127
14091;7;4122
34169;5;4122
17300;1001;4120
13006;3;4118
74202;10;4118
6090;70;4109
91477;413;4108
30286;9;4107
59208;5;4106
83035;77;4104
7190;1;4104
71258;1;4097
74101;2;4097
74137;24;4096
1160;125;4095
69279;21;4094
85083;42;4093
73300;16;4091
14562;1;4091
35287;53;4090
38397;34;4085
74116;11;4081
27620;3;4080
2A006;12;4080
13080;34;4078
3303;2;4074
77372;57;4073
69052;27;4070
40213;3;4069
91226;101;4069
74285;1;4068
17485;15;4068
74118;23;4067
93001;529;4067
74236;161;4067
95203;275;4067
6120;129;4063
84095;6;4059
40328;100;4058
60546;2;4058
74062;10;4055
13075;120;4053
34270;36;4048
95051;136;4048
74215;69;4046
94071;315;4045
93077;384;4044
74013;11;4044
69268;39;4043
69168;16;4040
74306;2;4040
77085;52;4040
93066;792;4039
14738;1;4038
38068;10;4038
69281;2;4038
69040;83;4033
22094;34;4030
66062;2;4030
44131;327;4029
74014;99;4029
14041;1;4027
33214;335;4025
74158;8;4022
78615;14;4018
93064;484;4013
95428;343;4013
94028;753;4009
97125;46;4006
78049;24;4005
97113;37;4004
74153;17;4003
74026;32;4003
34129;64;4003
2A269;17;4002
77517;28;4002
13038;11;4002
64260;199;4001
58290;1;4000
66099;1;4000
69385;609;3999
83098;115;3999
31439;1;3997
77022;24;3996
13087;36;3993
74040;15;3991
74007;14;3990
69069;139;3988
69112;63;3987
74172;8;3983
1339;7;3983
74280;42;3982
69272;14;3981
13208;851;3980
69076;28;3979
95287;7;3978
6140;29;3977
97415;161;3976
74308;4;3976
94053;54;3976
13007;64;3975
13042;29;3975
91122;117;3971
6126;24;3970
77243;307;3970
94011;81;3967
77037;89;3966
78297;235;3964
78498;398;3963
95563;255;3959
77058;425;3958
31025;2;3958
69117;38;3957
56234;44;3956
95426;45;3955
69027;146;3954
95598;224;3952
25398;1;3951
84057;2;3950
13105;16;3949
62899;31;3949
84063;2;3948
97231;82;3948
56106;12;3948
36086;1;3947
95257;75;3946
78108;9;3945
17094;116;3945
74088;8;3943
24012;4;3940
91272;211;3938
94077;202;3938
95014;24;3937
40133;90;3937
13091;53;3937
83061;183;3936
95120;36;3936
38431;18;3935
94073;408;3935
83016;150;3935
60056;1;3934
74282;108;3933
1173;195;3932
74309;36;3932
95039;132;3931
38057;5;3927
38551;1;3927
74018;15;3926
69271;47;3925
13118;29;3924
78398;13;3924
34023;231;3922
83153;120;3922
78423;392;3917
74163;7;3917
84093;9;3914
14059;53;3912
95306;363;3910
95313;195;3907
7272;2;3906
66029;3;3905
95219;291;3904
31578;3;3904
6031;9;3904
95555;239;3904
13082;32;3903
13073;39;3902
91377;408;3901
13040;76;3900
74061;10;3897
17486;32;3893
44125;78;3893
38533;9;3891
84052;2;3891
17461;126;3889
69089;179;3886
2A249;31;3886
33039;404;3885
1436;5;3885
74128;15;3885
2A181;1;3884
5085;15;3882
74122;7;3882
38249;31;3882
74021;9;3882
94022;516;3869
73054;66;3868
69094;71;3868
6064;31;3868
69389;664;3866
2A189;6;3866
78683;45;3866
91421;262;3866
74096;34;3865
97206;33;3864
94065;61;3864
83103;19;3864
84143;8;3862
31355;5;3861
36142;4;3860
77373;501;3859
13046;15;3857
73103;15;3855
2A191;1;3854
60346;157;3853
35288;965;3853
91044;44;3852
77018;88;3852
91661;107;3849
95060;98;3846
34057;80;3845
74058;21;3844
97202;7;3840
4158;10;3838
38417;1;3836
94019;269;3835
13115;4;3833
69028;60;3831
69204;245;3831
93053;295;3830
69266;1061;3826
78172;529;3825
56008;57;3823
73128;16;3821
6122;25;3821
13101;19;3818
74094;44;3818
31055;1;3817
38333;1;3816
25514;2;3813
83138;8;3811
56205;14;3810
2137;1;3810
69202;299;3810
13079;7;3810
44109;5433;3810
74220;53;3803
6034;20;3803
60525;1;3800
38126;25;3799
13031;31;3798
74070;33;3798
69086;15;3797
84025;15;3794
77479;136;3793
54165;5;3792
69133;48;3792
74298;72;3791
13085;43;3790
13086;69;3790
69270;21;3788
85222;281;3788
14305;16;3788
93007;284;3787
77252;9;3785
74020;4;3784
33519;113;3782
91560;6;3781
64035;12;3781
33318;705;3780
2A272;16;3779
51099;5;3779
74119;119;3778
83081;14;3777
74052;8;3776
2A254;2;3775
94059;300;3772
95197;308;3771
84011;3;3769
34090;20;3769
56052;67;3766
17411;28;3763
78160;83;3762
26233;1;3762
95660;10;3762
74126;7;3760
74073;6;3760
78674;183;3759
97226;16;3759
74089;18;3754
6006;17;3753
74262;7;3752
74305;59;3750
27577;1;3750
5161;38;3749
34120;57;3748
74259;4;3747
2A085;8;3745
83063;4;3745
74315;9;3743
6147;46;3742
6117;7;3741
83069;980;3741
44010;117;3740
13119;55;3740
7094;2;3740
74145;6;3737
73263;6;3734
13013;8;3733
33200;147;3733
34077;8;3732
31411;1;3732
78623;5;3731
94021;170;3729
91538;5;3729
69046;46;3729
74043;22;3728
77374;33;3727
56088;6;3727
1078;13;3727
91326;217;3727
95488;102;3727
56214;59;3726
64022;1;3725
74051;4;3725
14117;4;3725
38253;524;3725
84131;12;3725
95256;43;3724
74310;2;3724
85106;64;3722
74193;4;3721
2633;1;3721
84142;18;3719
34266;2;3719
93029;553;3718
13112;56;3718
77121;32;3716
69140;15;3716
44194;94;3716
74296;4;3716
60695;28;3715
95582;394;3715
95450;17;3714
73176;17;3712
78084;3;3712
69283;84;3711
38205;33;3711
64545;77;3708
4012;2;3708
12011;1;3707
1158;11;3706
64065;31;3706
56107;113;3706
31044;70;3705
73123;10;3703
74100;10;3702
74203;1;3700
74121;14;3699
73051;10;3698
60482;44;3697
83117;5;3695
73197;2;3695
78389;25;3692
44136;47;3692
74238;30;3691
95369;31;3688
74185;20;3688
85194;1396;3685
31089;1;3685
77350;269;3682
83135;1;3682
77146;18;3681
77438;79;3680
33122;168;3677
74209;12;3676
17380;113;3675
35256;65;3674
73322;5;3673
74005;31;3670
60240;5;3669
1342;2;3669
78356;120;3668
74090;8;3668
77141;8;3667
34247;40;3666
94054;186;3666
78431;35;3665
73098;3;3664
74157;14;3664
74190;43;3664
91411;17;3663
26133;1;3662
91027;339;3661
59090;106;3661
6030;793;3659
33281;1072;3658
91432;143;3657
40004;37;3657
69289;31;3656
95308;10;3654
95341;3;3653
84002;3;3653
91216;113;3652
1424;10;3652
64304;20;3652
97404;55;3648
77384;16;3647
78010;24;3643
72010;1;3643
83047;184;3642
74180;23;3642
95491;131;3642
13016;53;3638
31445;30;3638
91667;83;3637
56086;1;3636
77118;178;3635
83082;1;3633
69287;26;3632
84071;7;3631
5117;1;3630
13020;16;3630
13071;129;3629
33234;44;3629
78005;207;3626
95480;96;3625
78128;18;3625
77062;6;3622
38011;2;3621
78397;108;3617
74177;7;3616
33075;320;3615
77075;24;3614
93039;73;3613
84053;14;3612
91589;444;3611
95018;1128;3610
1288;42;3608
82047;1;3608
77038;3;3608
83090;128;3607
27285;3;3607
77221;21;3606
35051;198;3605
13051;63;3605
56003;63;3604
78366;3;3603
1105;14;3603
69288;31;3601
56233;42;3601
93032;469;3601
78123;223;3599
17010;48;3598
78442;68;3597
38425;1;3597
74091;3;3597
69298;16;3596
26251;3;3595
6114;48;3594
17190;23;3594
46329;1;3594
33422;95;3593
78382;57;3592
83127;23;3590
22016;11;3589
60282;139;3588
1418;5;3588
62604;177;3587
1435;14;3586
2A348;9;3586
13212;772;3586
73210;1;3585
33550;426;3583
13029;9;3582
69049;32;3581
13111;5;3581
77464;125;3581
56152;49;3580
95151;5;3579
91665;79;3579
40187;121;3579
78517;432;3577
1043;46;3577
59128;24;3576
34050;7;3575
78048;23;3575
44012;96;3574
6049;2;3574
34309;32;3574
34066;2;3573
83131;67;3572
34221;6;3572
95304;5;3570
83096;5;3568
69154;33;3568
93057;324;3566
64407;29;3566
6073;135;3566
70517;7;3565
91136;21;3565
78321;103;3565
74288;53;3564
91425;140;3561
35238;3486;3561
26356;1;3560
74218;61;3560
38471;2;3559
26093;4;3559
74106;1;3558
74008;44;3557
77065;14;3554
73057;9;3554
69156;18;3554
78302;5;3553
64279;7;3552
77096;42;3552
25601;2;3551
73282;3;3550
73024;14;3549
78015;217;3548
13072;31;3546
51584;1;3545
91338;70;3544
64009;9;3544
40181;27;3544
34039;27;3543
69190;17;3542
2297;1;3542
73228;2;3542
34022;95;3541
69136;27;3541
74211;13;3538
94034;345;3537
17168;46;3537
6048;79;3536
83055;13;3535
13070;35;3535
38296;2;3535
33162;336;3534
73150;128;3533
33376;87;3532
86091;4;3532
33238;83;3531
83046;3;3530
33449;326;3530
69003;34;3530
77083;231;3530
69282;174;3530
95628;36;3528
69255;86;3528
44049;203;3528
78073;289;3527
95028;21;3524
73160;2;3524
33192;276;3524
27224;1;3523
95094;4;3523
38140;35;3522
38499;8;3521
77258;124;3521
33527;109;3519
77412;6;3518
6075;59;3517
74104;34;3517
81090;1;3516
83054;100;3516
38516;49;3516
33090;46;3515
31555;2972;3514
69297;28;3514
44182;132;3514
77095;16;3512
74050;5;3511
11200;3;3509
91114;336;3509
78465;29;3508
95527;27;3507
95288;116;3506
74072;1;3505
77510;11;3505
93013;153;3504
78125;18;3502
77209;13;3500
66010;1;3500
7026;2;3500
69083;11;3499
69126;4;3497
69278;47;3495
69176;47;3494
38023;2;3494
74244;11;3492
69285;23;3492
13026;126;3491
14409;3;3491
34217;67;3490
74195;2;3490
65373;2;3489
77377;37;3489
69294;21;3489
74249;23;3488
74263;57;3488
7089;7;3487
34255;99;3487
1109;34;3487
80198;6;3486
13050;80;3485
80755;4;3484
29155;6;3484
77450;43;3484
38422;36;3484
95353;31;3484
78168;31;3483
77508;20;3481
34159;39;3481
60494;20;3480
77363;26;3480
74147;11;3479
25380;52;3478
95199;212;3478
60172;76;3475
17222;22;3474
69121;17;3473
74127;5;3473
78643;97;3472
59378;687;3471
74197;19;3471
74240;5;3471
78550;26;3470
33494;10;3470
31035;21;3469
31244;1;3467
77006;17;3465
60027;10;3465
84045;5;3463
78653;4;3463
33099;29;3463
77108;673;3461
13037;69;3461
6118;58;3460
6010;37;3460
6130;49;3460
78513;28;3460
78193;16;3459
38229;114;3459
74171;9;3458
95091;65;3458
69207;36;3458
13044;27;3458
32206;1;3458
91549;384;3458
74231;4;3457
77470;86;3457
30261;2;3456
78364;4;3455
95539;192;3455
93005;553;3454
91685;63;3454
69068;39;3454
69149;361;3453
65471;7;3453
77169;86;3452
74297;7;3451
84099;23;3450
83120;17;3450
38472;2;3450
77521;31;3449
91274;16;3449
34337;101;3448
17274;84;3448
78227;12;3447
91657;264;3447
95504;58;3447
77177;18;3447
50003;77;3446
17225;124;3445
74168;10;3444
74313;11;3444
33213;32;3443
97233;1;3442
77053;288;3442
93010;362;3441
84094;3;3440
77249;101;3440
78380;85;3440
47012;3;3440
16405;2;3440
38557;2;3440
91691;437;3439
13064;9;3438
69212;2;3438
21338;3;3437
73155;9;3437
33536;8;3435
95394;133;3435
38524;49;3434
34240;13;3434
77091;3;3432
34112;1;3431
69071;11;3431
17323;50;3431
78576;36;3430
33312;129;3429
5079;34;3428
94075;157;3428
6026;14;3428
74307;6;3427
81284;9;3427
34327;81;3427
93050;300;3426
83087;10;3426
91347;90;3425
83062;227;3425
13068;9;3425
77124;19;3424
97413;167;3424
78262;23;3423
56009;9;3422
40317;42;3421
95074;10;3420
44035;205;3420
13069;71;3420
46183;1;3419
73008;242;3419
33273;104;3419
78334;16;3419
74194;4;3418
65036;1;3417
94074;63;3417
73088;5;3415
1248;13;3414
33013;83;3414
2471;3;3414
8040;7;3414
14358;1;3413
73324;1;3412
78443;14;3412
91617;46;3411
91434;243;3411
95424;225;3410
44215;333;3410
44201;47;3409
77315;44;3409
38111;61;3407
95476;166;3406
30003;177;3405
13102;30;3405
78624;201;3404
74253;8;3403
14032;5;3402
78486;93;3402
77413;55;3401
62806;1;3400
84130;1;3399
26276;3;3398
31338;1;3397
35278;125;3397
34322;8;3396
14070;3;3395
95280;230;3395
5133;36;3395
95392;87;3394
69148;20;3394
84047;16;3393
94048;42;3393
78140;20;3392
21132;1;3389
73178;3;3388
83041;3;3388
13041;142;3387
2A004;465;3386
77171;101;3386
74105;66;3385
95637;198;3384
64102;497;3383
74250;50;3381
38197;2;3381
91093;8;3381
95483;2;3381
4159;2;3380
13035;28;3380
27545;1;3379
29087;1;3377
95607;357;3377
6033;113;3377
31254;8;3376
74252;6;3376
94060;118;3376
13043;68;3375
76358;1;3374
76552;148;3374
17333;146;3372
38175;18;3372
25565;1;3372
78242;104;3371
44154;381;3369
78642;190;3369
73301;2;3369
34153;13;3368
91482;9;3367
17028;122;3367
85035;209;3367
40209;90;3367
94047;55;3367
74226;4;3367
24082;13;3365
82024;3;3365
77139;88;3363
59350;3744;3363
2A288;3;3361
77511;11;3361
61393;3;3360
91376;68;3360
73182;8;3359
95019;133;3357
33406;6;3357
77294;191;3356
77005;45;3355
22302;24;3355
91319;7;3354
91339;94;3354
30121;6;3354
6094;65;3353
91631;33;3352
2A031;3;3350
77132;41;3349
33274;35;3348
6095;82;3348
74166;10;3348
34242;13;3347
95678;16;3347
77214;3;3346
93047;199;3345
91201;318;3341
5157;6;3340
31561;49;3340
7140;1;3338
25296;3;3337
74175;6;3337
44211;149;3337
13110;110;3337
13206;654;3337
77359;32;3337
78548;2;3336
69260;57;3335
74311;44;3335
31448;3;3334
69292;69;3334
74276;63;3334
4032;1;3333
26284;5;3333
78415;14;3332
78220;103;3332
74054;5;3332
91458;59;3331
30314;1;3331
6149;105;3330
56240;184;3330
59458;15;3330
56069;37;3329
74146;11;3328
91573;155;3327
95271;8;3326
77048;46;3326
1238;15;3325
33019;139;3325
74124;9;3323
33080;80;3322
73265;1;3321
83132;25;3321
60271;2;3320
77376;10;3319
78062;96;3319
91514;96;3319
74260;5;3317
93027;160;3317
80228;90;3317
74161;7;3316
84067;10;3316
92078;78;3316
84116;3;3316
33535;43;3316
91363;100;3315
2A211;2;3315
74095;1;3315
2A090;4;3314
33097;97;3314
40046;368;3313
66075;13;3313
13052;9;3312
5057;1;3312
94044;350;3312
26192;2;3311
64255;3;3311
84151;2;3311
78325;5;3310
78681;9;3310
77215;93;3310
78644;23;3310
38340;1;3309
34265;9;3309
1027;13;3307
91587;63;3307
38214;6;3306
77188;19;3306
84054;130;3306
2B020;1;3305
17200;63;3304
21177;3;3303
44126;117;3302
78165;222;3302
77505;3;3302
95675;16;3302
40291;31;3302
74009;6;3300
78162;5;3300
77447;19;3299
25361;5;3298
33400;3;3298
30351;193;3298
34320;20;3298
14079;121;3295
77114;42;3295
91408;17;3295
44106;48;3294
78562;17;3294
40287;62;3294
74138;13;3293
95229;136;3292
93008;161;3292
60619;20;3292
44172;177;3292
10412;8;3292
83077;7;3292
80721;41;3290
34152;6;3290
34058;59;3289
33284;139;3289
73164;3;3289
34256;21;3289
91666;32;3288
91111;25;3288
77196;21;3288
78590;14;3287
1233;2;3287
95254;5;3286
74086;7;3286
31512;4;3285
64496;44;3284
13106;84;3283
94070;51;3282
38436;15;3282
42083;7;3282
69296;14;3280
38475;2;3280
91180;6;3280
95682;1;3280
78090;36;3280
31228;12;3279
44190;455;3278
91687;306;3278
13030;26;3278
44114;364;3278
31053;7;3277
84030;14;3276
95211;32;3276
95489;10;3275
95625;13;3275
91568;12;3275
38328;2;3274
6015;18;3273
91553;127;3273
14302;3;3271
25172;1;3269
77468;225;3268
34343;6;3268
7276;1;3267
9149;1;3267
58308;1;3267
91021;139;3267
95183;85;3267
74292;6;3265
91330;77;3265
91175;33;3264
14077;12;3264
33333;34;3263
69055;15;3263
34003;869;3262
44097;62;3262
93046;586;3262
89446;6;3261
91315;110;3261
77514;359;3260
74133;112;3260
77237;10;3260
14557;51;3259
14540;5;3257
74186;4;3257
64495;50;3256
78620;2;3256
84042;13;3256
14754;440;3255
77081;8;3255
33555;69;3255
44009;91;3254
78638;63;3254
74087;18;3254
77203;16;3254
1275;21;3254
30103;9;3253
14407;1;3252
73249;9;3251
84062;9;3251
13036;12;3251
14758;1;3250
40036;42;3250
77390;261;3250
33056;147;3249
69141;52;3249
91244;15;3249
38350;4;3247
5012;1;3245
38170;22;3245
33119;310;3243
95652;73;3241
83144;259;3240
31036;11;3240
26081;3;3240
74183;20;3239
1285;12;3239
59398;43;3238
9303;4;3238
60252;2;3238
40312;144;3237
78034;14;3237
95134;56;3236
14563;4;3235
38503;8;3235
91494;49;3235
56262;32;3234
60612;190;3234
33152;1;3234
77153;159;3234
34288;9;3233
46256;2;3233
44026;241;3233
83053;25;3233
91292;13;3232
62307;3;3231
69231;18;3231
78655;14;3231
83111;3;3230
31227;5;3229
22186;133;3229
69170;8;3228
91525;27;3227
48087;2;3227
80333;146;3227
59275;10;3226
74049;5;3226
62261;239;3225
1166;29;3225
74156;8;3225
74184;8;3223
77102;1;3223
13081;98;3223
34027;27;3223
38149;1;3222
33322;86;3222
34185;1;3221
91105;77;3221
78030;13;3220
38446;3;3220
76062;1;3220
93073;296;3220
91599;23;3220
60421;8;3219
38184;1;3218
74097;6;3218
74304;5;3217
83130;149;3217
9251;2;3217
69273;57;3217
95149;44;3216
17306;469;3216
69246;18;3215
35049;159;3214
95430;52;3214
34296;4;3213
7023;5;3213
69029;241;3213
77039;11;3212
77420;39;3212
13053;35;3212
73006;78;3211
38466;8;3210
38188;7;3210
84038;15;3210
95446;30;3209
1322;37;3208
76218;1;3208
40310;164;3208
64140;66;3206
14338;183;3206
6025;16;3206
6135;2;3206
77392;8;3206
78238;31;3205
15189;6;3205
25121;2;3205
38486;60;3204
14755;24;3204
60022;9;3204
69088;127;3203
95205;93;3203
78605;7;3202
77142;63;3202
6058;6;3202
77217;52;3202
74265;5;3201
74037;12;3200
33349;19;3199
78490;407;3198
77457;13;3196
95088;11;3194
5052;2;3194
60142;41;3193
60500;53;3193
91468;29;3191
26368;4;3190
60391;3;3190
31575;5;3190
73043;7;3189
95352;68;3188
94056;43;3188
6019;16;3188
60170;11;3187
35263;50;3186
95500;436;3185
30031;1;3185
33096;79;3185
59328;455;3184
25021;5;3183
24378;1;3182
34276;48;3182
74301;6;3182
73183;6;3181
51318;3;3179
14419;1;3177
77309;17;3177
95422;8;3176
76104;3;3176
83125;7;3174
84102;10;3174
24532;1;3173
95436;14;3171
53111;5;3171
95535;9;3171
38554;3;3170
34150;148;3170
74012;303;3170
38061;27;3169
91103;307;3169
85011;71;3169
83089;1;3169
38388;18;3169
91195;11;3168
2A271;24;3168
60293;4;3168
5177;53;3167
77337;107;3167
7109;5;3167
84113;3;3167
33118;11;3167
77273;4;3167
5119;81;3166
83126;832;3165
13117;280;3165
80461;1;3164
69056;18;3163
33033;11;3163
69275;166;3163
59421;217;3163
84024;2;3162
95241;29;3161
31099;4;3161
91333;74;3161
77441;41;3160
33167;203;3160
91662;12;3160
47250;1;3159
34248;14;3159
33401;4;3158
78217;66;3158
